TIme,Satellite_num,State
0,0,indoor
1,0,indoor
2,0,indoor
3,0,indoor
4,0,indoor
5,0,indoor
6,0,indoor
7,0,indoor
8,0,indoor
9,0,indoor
10,0,indoor
11,0,indoor
12,0,indoor
13,0,indoor
14,0,indoor
15,0,indoor
16,0,indoor
17,0,indoor
18,0,indoor
19,0,indoor
20,0,indoor
21,0,indoor
22,0,indoor
23,0,indoor
24,0,indoor
25,0,indoor
26,0,indoor
27,0,indoor
28,0,indoor
29,0,indoor
30,0,indoor
31,0,indoor
32,0,indoor
33,0,indoor
34,0,indoor
35,0,indoor
36,0,indoor
37,0,indoor
38,0,indoor
39,0,indoor
40,0,indoor
41,0,indoor
42,0,indoor
43,0,indoor
44,0,indoor
45,0,indoor
46,0,indoor
47,0,indoor
48,0,indoor
49,0,indoor
50,0,indoor
51,0,indoor
52,0,indoor
53,0,indoor
54,0,indoor
55,0,indoor
56,0,indoor
57,0,indoor
58,0,indoor
59,0,indoor
60,0,indoor
61,0,indoor
62,0,indoor
63,0,indoor
64,0,indoor
65,0,indoor
66,0,indoor
67,0,indoor
68,0,indoor
69,0,indoor
70,0,indoor
71,0,indoor
72,0,indoor
73,0,indoor
74,0,indoor
75,0,indoor
76,0,indoor
77,0,indoor
78,0,indoor
79,0,indoor
80,0,indoor
81,0,indoor
82,0,indoor
83,0,indoor
84,0,indoor
85,0,indoor
86,0,indoor
87,0,indoor
88,0,indoor
89,0,indoor
90,0,indoor
91,0,indoor
92,0,indoor
93,0,indoor
94,0,indoor
95,0,indoor
96,0,indoor
97,0,indoor
98,0,indoor
99,0,indoor
100,0,indoor
101,0,indoor
102,0,indoor
103,0,indoor
104,0,indoor
105,0,indoor
106,0,indoor
107,0,indoor
108,0,indoor
109,0,indoor
110,0,indoor
111,0,indoor
112,0,indoor
113,0,indoor
114,0,indoor
115,0,indoor
116,0,indoor
117,0,indoor
118,0,indoor
119,0,indoor
120,0,indoor
121,0,indoor
122,0,indoor
123,0,indoor
124,0,indoor
125,0,indoor
126,0,indoor
127,0,indoor
128,0,indoor
129,0,indoor
130,0,indoor
131,0,indoor
132,0,indoor
133,0,indoor
134,0,indoor
135,0,indoor
136,0,indoor
137,0,indoor
138,0,indoor
139,0,indoor
140,0,indoor
141,1,indoor
142,3,indoor
143,1,indoor
144,3,indoor
145,4,indoor
146,5,indoor
147,5,indoor
148,5,indoor
149,5,indoor
150,5,indoor
151,6,indoor
152,6,indoor
153,6,indoor
154,7,indoor
155,9,indoor
156,9,indoor
157,10,outdoor
158,13,outdoor
159,18,outdoor
160,22,outdoor
161,29,outdoor
162,30,outdoor
163,31,outdoor
164,32,outdoor
165,31,outdoor
166,32,outdoor
167,30,outdoor
168,31,outdoor
169,32,outdoor
170,31,outdoor
171,31,outdoor
172,30,outdoor
173,31,outdoor
174,29,outdoor
175,30,outdoor
176,31,outdoor
177,30,outdoor
178,32,outdoor
179,30,outdoor
180,31,outdoor
181,31,outdoor
182,31,outdoor
183,32,outdoor
184,30,outdoor
185,30,outdoor
186,32,outdoor
187,31,outdoor
189,31,outdoor
190,30,outdoor
191,30,outdoor
192,30,outdoor
193,30,outdoor
194,28,outdoor
195,30,outdoor
196,31,outdoor
197,31,outdoor
198,29,outdoor
199,31,outdoor
200,31,outdoor
201,30,outdoor
202,30,outdoor
203,29,outdoor
204,29,outdoor
205,29,outdoor
206,29,outdoor
207,30,outdoor
208,30,outdoor
209,29,outdoor
210,32,outdoor
211,32,outdoor
212,32,outdoor
213,32,outdoor
214,30,outdoor
215,30,outdoor
216,31,outdoor
217,32,outdoor
218,30,outdoor
219,30,outdoor
220,30,outdoor
221,32,outdoor
222,31,outdoor
223,28,outdoor
224,30,outdoor
225,31,outdoor
226,32,outdoor
227,32,outdoor
228,31,outdoor
229,31,outdoor
230,32,outdoor
231,29,outdoor
232,29,outdoor
233,31,outdoor
234,32,outdoor
235,32,outdoor
236,32,outdoor
237,32,outdoor
238,31,outdoor
239,30,outdoor
240,32,outdoor
241,29,outdoor
242,31,outdoor
243,31,outdoor
244,30,outdoor
245,31,outdoor
246,32,outdoor
247,31,outdoor
248,30,outdoor
249,29,outdoor
250,32,outdoor
251,30,outdoor
